address,borough,unitsres
627 WARREN STREET,BK,4
933 60 STREET,BK,9
125 BAY 29 STREET,BK,3
8136 BAY 16TH STREET,BK,3
340 DEAN STREET,BK,7
357 DEAN STREET,BK,6
695 SACKETT STREET,BK,6
708A DEGRAW STREET,BK,3
406 FENIMORE STREET,BK,6
544 BROOKLYN AVENUE,BK,4
61 CLARKSON AVENUE,BK,11
246 MAPLE STREET,BK,8
163 VERONICA PLACE,BK,8
280 LINDEN BOULEVARD,BK,8
32-13 112 STREET,QN,3
256 WINTHROP STREET,BK,8
258 WINTHROP STREET,BK,8
1001 ROGERS AVENUE,BK,9
318 HAWTHORNE STREET,BK,8
31-04 107TH STREET,QN,6
106-18 ASTORIA BOULEVARD,QN,6
 RUTLAND ROAD,BK,6
2605 ALBEMARLE ROAD,BK,3
2422 SNYDER AVENUE,BK,4
89 VERONICA PLACE,BK,3
2603 ALBEMARLE ROAD,BK,3
237 HAWTHORNE STREET,BK,9
293 FENIMORE STREET,BK,8
103-43 120 STREET,QN,10
225 WINTHROP STREET,BK,8
728A ROGERS AVENUE,BK,7
474 EAST NEW YORK AVENUE,BK,10
1205 NEW YORK AVENUE,BK,8
141 METROPOLITAN AVENUE,BK,7
112 SOUTH 2 STREET,BK,7
375 EAST 10 STREET,MN,9
325 EAST 8 STREET,MN,13
416 BEDFORD AVENUE,BK,11
184 FORSYTH STREET,MN,21
186 FORSYTH STREET,MN,21
208 GRAND STREET,BK,7
207 SOUTH 1 STREET,BK,5
210 SOUTH 1 STREET,BK,6
164 SOUTH 1 STREET,BK,8
113 SOUTH 2 STREET,BK,8
330 GRAND STREET,MN,12
145 DIVISION AVENUE,BK,3
168 CLYMER STREET,BK,3
157 CLYMER STREET,BK,3
114 NORTH 7 STREET,BK,7
131 WYTHE AVENUE,BK,6
247 ELDRIDGE STREET,MN,10
6319 FT HAMILTON PARKWAY,BK,4
244 FRANKLIN AVENUE,BK,12
385 CLASSON AVENUE,BK,8
104 CLIFTON PLACE,BK,4
98 CLIFTON PLACE,BK,4
106 CLIFTON PLACE,BK,4
356 BALTIC STREET,BK,5
106 WASHINGTON AVENUE,BK,10
104 WASHINGTON AVENUE,BK,10
81 ST MARKS PLACE,BK,4
33 MADISON STREET,BK,6
187 CLIFTON PLACE,BK,8
436 LAFAYETTE AVENUE,BK,8
